Customer ID, Customer First Name, Customer Last Name, Data Stamp, Portfolio ID, Model Portfolio ID, Model Portfolio Name, Investment Product ID, Weightage (Customer Holdings), Weightage (Model Portfolio), Difference, Alert
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, XSOE, 0, 0.063, 0.063, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, QQQ, 0, 0.049, 0.049, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, VEA, 0, 0.147, 0.147, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, MUB, 0, 0.09, 0.09, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, LQD, 0, 0.09, 0.09, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, AGG, 0, 0.12, 0.12, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, IVW, 0, 0.049, 0.049, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, VTI, 0, 0.196, 0.196, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, SCHD, 0, 0.147, 0.147, 
1393, Benjamin, Wong, Mon Jan 14 2019 22:24:38 GMT+0800 (+08), 1036, 11, Profile 70% Equity, VTV, 0, 0.049, 0.049, 
1117, Shekhar, three thousand one, Tue Dec 18 2018 19:18:01 GMT+0800 (+08), 695, 13, Profile 80% Equity, MUB, 5, 0.06, -4.94, 
1117, Shekhar, three thousand one, Thu Dec 13 2018 19:32:46 GMT+0800 (+08), 695, 13, Profile 80% Equity, VTV, 5, 0.055999999999999994, -4.944, 
1117, Shekhar, three thousand one, Thu Dec 13 2018 19:32:46 GMT+0800 (+08), 695, undefined, undefined, SPY, 5, undefined, undefined, data inconsistency
1117, Shekhar, three thousand one, Thu Dec 13 2018 19:32:46 GMT+0800 (+08), 695, 13, Profile 80% Equity, IVW, 5, 0.055999999999999994, -4.944, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, VTI, 0, 0.182, 0.182, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, SCHD, 0, 0.1365, 0.1365, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, IVW, 0, 0.0455, 0.0455, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, VTV, 0, 0.0455, 0.0455, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, VEA, 0, 0.1365, 0.1365, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, QQQ, 0, 0.0455, 0.0455, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, MUB, 0, 0.105, 0.105, 
1095, Adasdas, Asdasda, Mon Jan 14 2019 23:23:06 GMT+0800 (+08), 1037, 10, Profile 65% Equity, XSOE, 0, 0.058499999999999996, 0.058499999999999996, 
